Repository,Type,URL,Description,Stars,Subscribers,Open Issues,Last Update,Created,Last Release,Docs,CRDs Total,CRDs Alpha,CRDs Beta,CRDs V1
jisnardo / provider-jet-vsphere,Terrajet,https://github.com/jisnardo/provider-jet-vsphere,Provider Jet vSphere,0,1,0,2022-08-23,2022-08-23,0001-01-01,,0,0,0,0
foshantiger / provider-jet-tencentcloud,Terrajet,https://github.com/foshantiger/provider-jet-tencentcloud,TencentCloud Provider for Crossplane that is built with Terrajet.,0,2,0,2022-08-23,2022-08-23,0001-01-01,,0,0,0,0
justin-watkinson-cherre / hello-crossplane,Terrajet,https://github.com/justin-watkinson-cherre/hello-crossplane,Managed with Crossplane Github Provider (generated with Terrajet),0,1,0,2022-08-22,2022-08-22,0001-01-01,,0,0,0,0
antoniodiazroman / provider-jet-vsphere-2,Terrajet,https://github.com/antoniodiazroman/provider-jet-vsphere-2,,0,1,0,2022-08-22,2022-08-22,0001-01-01,,0,0,0,0
joakimhew / provider-jet-googleworkspace,Terrajet,https://github.com/joakimhew/provider-jet-googleworkspace,Crossplane provider for Google Workspaces,0,1,0,2022-08-22,2022-08-19,2022-08-21,https://doc.crds.dev/github.com/joakimhew/provider-jet-googleworkspace@v0.1.0,5,5,0,0
rkaneria-sap / crossplane-provider-tf,Terrajet,https://github.com/rkaneria-sap/crossplane-provider-tf,,0,1,0,2022-08-19,2022-08-19,0001-01-01,,0,0,0,0
Kerwood / provider-jet-test,Terrajet,https://github.com/Kerwood/provider-jet-test,,0,1,0,2022-08-17,2022-08-17,0001-01-01,,0,0,0,0
ZhengjunHUO / terrajetlearn,Terrajet,https://github.com/ZhengjunHUO/terrajetlearn,,0,1,0,2022-08-17,2022-08-17,0001-01-01,,0,0,0,0
mapril-aspentech / provider-aspencloud,Native,https://github.com/mapril-aspentech/provider-aspencloud,,0,1,0,2022-08-16,2022-08-16,0001-01-01,,0,0,0,0
mapril-aspentech / provider-jet-aspencloud,Terrajet,https://github.com/mapril-aspentech/provider-jet-aspencloud,,0,1,0,2022-08-16,2022-08-03,0001-01-01,,0,0,0,0
maxnovawind / provider-jet-boundary,Terrajet,https://github.com/maxnovawind/provider-jet-boundary,Generated crossplane provider for boundary,0,1,0,2022-08-13,2022-06-28,0001-01-01,,0,0,0,0
raffaelespazzoli / provider-jet-github,Terrajet,https://github.com/raffaelespazzoli/provider-jet-github,,0,1,0,2022-08-12,2022-08-12,0001-01-01,,0,0,0,0
jeevanjoseph / oci-crossplane,Terrajet,https://github.com/jeevanjoseph/oci-crossplane,,0,1,0,2022-08-11,2022-08-11,0001-01-01,,0,0,0,0
beeyingln / provider-github-1,Terrajet,https://github.com/beeyingln/provider-github-1,,0,1,0,2022-08-11,2022-08-11,0001-01-01,,0,0,0,0
luisgj / poc-crossplane-provider,Native,https://github.com/luisgj/poc-crossplane-provider,PoC of building a crossplane provider.,0,1,0,2022-08-09,2022-08-09,0001-01-01,,0,0,0,0
Alt-Shivam / provider-planetscale,Native,https://github.com/Alt-Shivam/provider-planetscale,,0,1,0,2022-08-09,2022-08-09,0001-01-01,,0,0,0,0
sabre1041 / example-jet-template,Terrajet,https://github.com/sabre1041/example-jet-template,,0,2,0,2022-08-08,2022-08-08,0001-01-01,,0,0,0,0
beeyingln / provider-netbox,Terrajet,https://github.com/beeyingln/provider-netbox,,0,1,0,2022-08-08,2022-08-08,0001-01-01,,0,0,0,0
beeyingln / provider-github,Terrajet,https://github.com/beeyingln/provider-github,,0,1,0,2022-08-08,2022-08-08,0001-01-01,,0,0,0,0
noseka1 / github-terrajet-provider,Terrajet,https://github.com/noseka1/github-terrajet-provider,,0,1,0,2022-08-07,2022-08-07,0001-01-01,,0,0,0,0
janwillies / provider-jet-dynatrace,Terrajet,https://github.com/janwillies/provider-jet-dynatrace,crossplane provider for the Dynatrace API,1,2,0,2022-08-04,2022-07-15,2022-08-04,https://doc.crds.dev/github.com/janwillies/provider-jet-dynatrace@v0.0.1,5,5,0,0
beeyingln / provider-terraform,Terrajet,https://github.com/beeyingln/provider-terraform,,0,1,0,2022-08-03,2022-08-03,0001-01-01,,0,0,0,0
beeyingl / provider-netbox-generic,Terrajet,https://github.com/beeyingl/provider-netbox-generic,,0,1,0,2022-08-02,2022-08-02,0001-01-01,,0,0,0,0
roopeshvs / crossplane-template,Native,https://github.com/roopeshvs/crossplane-template,Crossplane Provider Template Demo,0,1,0,2022-08-01,2022-08-01,0001-01-01,,0,0,0,0
nickebbitt / provider-filesystem,Native,https://github.com/nickebbitt/provider-filesystem,,0,1,0,2022-07-29,2022-07-29,0001-01-01,,0,0,0,0
michael-bowen-sc / provider-jet-harbor,Terrajet,https://github.com/michael-bowen-sc/provider-jet-harbor,Crossplane Terrajet generated provider,0,1,0,2022-07-27,2022-07-27,0001-01-01,,0,0,0,0
Alt-Shivam / Provider-Openstack,Native,https://github.com/Alt-Shivam/Provider-Openstack,,0,1,0,2022-07-27,2022-07-27,0001-01-01,,0,0,0,0
janwillies / provider-mend,Native,https://github.com/janwillies/provider-mend,A crossplane provider for the Mend API (formerly WhiteSource),0,2,0,2022-07-26,2022-07-26,0001-01-01,,0,0,0,0
rogerdalvi / terrajet-github,Terrajet,https://github.com/rogerdalvi/terrajet-github,,0,1,0,2022-07-22,2022-07-22,0001-01-01,,0,0,0,0
raildo / crossplane-spotinst-provider,Terrajet,https://github.com/raildo/crossplane-spotinst-provider,,0,1,0,2022-07-21,2022-07-21,0001-01-01,,0,0,0,0
fanzhenzhen1 / provider-template,Native,https://github.com/fanzhenzhen1/provider-template,,0,1,0,2022-07-21,2022-07-21,0001-01-01,,0,0,0,0
empath-nirvana / provider-jet-confluent,Terrajet,https://github.com/empath-nirvana/provider-jet-confluent,,0,1,0,2022-07-21,2022-07-21,0001-01-01,,0,0,0,0
enrichman / provider-epinio,Native,https://github.com/enrichman/provider-epinio,,0,2,0,2022-07-20,2022-07-20,0001-01-01,,0,0,0,0
razvanbojoga / crossplane-provider-test,Native,https://github.com/razvanbojoga/crossplane-provider-test,,0,1,0,2022-07-20,2022-07-20,0001-01-01,,0,0,0,0
ctkeyser / provider-jet-azuread,Terrajet,https://github.com/ctkeyser/provider-jet-azuread,,0,1,0,2022-07-14,2022-07-14,0001-01-01,,0,0,0,0
crossplane-contrib / provider-jet-rancher,Terrajet,https://github.com/crossplane-contrib/provider-jet-rancher,,1,4,4,2022-07-14,2022-01-26,2022-01-26,https://doc.crds.dev/github.com/crossplane-contrib/provider-jet-rancher@v0.1.0,53,53,0,0
guiguan / provider-jet-cloudflare,Terrajet,https://github.com/guiguan/provider-jet-cloudflare,,0,1,0,2022-07-13,2022-07-13,2022-07-20,https://doc.crds.dev/github.com/guiguan/provider-jet-cloudflare@v0.1.1,8,8,0,0
dorroddorrod / provider-openshift,Native,https://github.com/dorroddorrod/provider-openshift,,0,1,0,2022-07-12,2022-07-12,0001-01-01,,0,0,0,0
sboschman / provider-jet-rancher2,Terrajet,https://github.com/sboschman/provider-jet-rancher2,,0,2,0,2022-07-11,2022-07-11,0001-01-01,,0,0,0,0
beeyingl / provider-github,Terrajet,https://github.com/beeyingl/provider-github,,0,1,0,2022-07-09,2022-07-09,0001-01-01,,0,0,0,0
beeyingl / provider-netbox,Terrajet,https://github.com/beeyingl/provider-netbox,,0,1,0,2022-07-07,2022-07-07,0001-01-01,,0,0,0,0
simonkaiser9 / provider-jet-authentik,Terrajet,https://github.com/simonkaiser9/provider-jet-authentik,,1,1,0,2022-07-01,2022-06-28,0001-01-01,,0,0,0,0
dhano6 / provider-dev-planetscale,Native,https://github.com/dhano6/provider-dev-planetscale,,0,1,0,2022-06-29,2022-06-29,0001-01-01,,0,0,0,0
antoniodiazroman / provider-jet-vsphere,Terrajet,https://github.com/antoniodiazroman/provider-jet-vsphere,,0,1,0,2022-06-28,2022-06-28,0001-01-01,,0,0,0,0
simonkaiser9 / provider-authentik,Native,https://github.com/simonkaiser9/provider-authentik,,0,1,0,2022-06-27,2022-06-27,0001-01-01,,0,0,0,0
dorroddorrod / provider-kops,Native,https://github.com/dorroddorrod/provider-kops,,0,1,0,2022-06-25,2022-06-25,0001-01-01,,0,0,0,0
MR6996 / provider-prova,Native,https://github.com/MR6996/provider-prova,,0,1,0,2022-06-24,2022-06-24,0001-01-01,,0,0,0,0
devopsrockers / provider-planetscale,Native,https://github.com/devopsrockers/provider-planetscale,,0,1,0,2022-06-22,2022-06-22,0001-01-01,,0,0,0,0
parul5sahoo / k8s-test-provider,Native,https://github.com/parul5sahoo/k8s-test-provider,testing the K8s provider to create and pull private packages on Crossplane,0,1,0,2022-06-22,2022-06-22,0001-01-01,,0,0,0,0
spectrocloud / provider-jet-palette,Terrajet,https://github.com/spectrocloud/provider-jet-palette,Crossplane Provider for Spectro Cloud Palette,1,5,0,2022-06-21,2022-04-25,0001-01-01,,0,0,0,0
hasheddan / kc-provider-github,Native,https://github.com/hasheddan/kc-provider-github,@github provider for @crossplane - Kubecon NA 2020,3,3,0,2022-06-18,2020-10-15,0001-01-01,,0,0,0,0
scalvetr / poc-crossplane-provider,Native,https://github.com/scalvetr/poc-crossplane-provider,,0,1,0,2022-06-17,2022-06-17,0001-01-01,,0,0,0,0
maxnovawind / provider-jet-keycloak,Terrajet,https://github.com/maxnovawind/provider-jet-keycloak,Generated crossplane provider for keycloak,0,1,1,2022-06-16,2022-06-10,0001-01-01,,0,0,0,0
HoogWater / provider-test,Native,https://github.com/HoogWater/provider-test,a test crossplane provider,0,2,0,2022-06-16,2022-06-16,0001-01-01,,0,0,0,0
jerem0808 / provider-jet-openstack,Terrajet,https://github.com/jerem0808/provider-jet-openstack,,0,1,0,2022-06-14,2022-06-14,0001-01-01,,0,0,0,0
jerem0808 / provider-jet-openstack_old,Terrajet,https://github.com/jerem0808/provider-jet-openstack_old,,0,1,0,2022-06-14,2022-06-14,0001-01-01,,0,0,0,0
jjedr / provider-jet-okta,Terrajet,https://github.com/jjedr/provider-jet-okta,,0,1,0,2022-06-14,2022-05-25,0001-01-01,,0,0,0,0
jerem0808 / provider-planetscale,Native,https://github.com/jerem0808/provider-planetscale,,0,1,0,2022-06-14,2022-06-14,0001-01-01,,0,0,0,0
parul5sahoo / test_provider,Native,https://github.com/parul5sahoo/test_provider,Will be using it to test Crossplane,0,1,0,2022-06-13,2022-06-13,0001-01-01,,0,0,0,0
sumantan / FWProvider,Native,https://github.com/sumantan/FWProvider,,0,1,0,2022-06-10,2022-06-10,0001-01-01,,0,0,0,0
pkrishnath / provider-jet-keycloak,Terrajet,https://github.com/pkrishnath/provider-jet-keycloak,Crossplane jet provider for keycloak,0,2,0,2022-06-10,2022-06-10,0001-01-01,,0,0,0,0
herveleclerc / crossplane-provider-azure,Native,https://github.com/herveleclerc/crossplane-provider-azure,En attendant le fix-298,1,1,0,2022-06-10,2021-12-07,0001-01-01,,0,0,0,0
SuryaLeon / jettemplate,Terrajet,https://github.com/SuryaLeon/jettemplate,,0,1,0,2022-06-10,2022-06-10,0001-01-01,,0,0,0,0
4n3w / provider-jet-vsphere,Terrajet,https://github.com/4n3w/provider-jet-vsphere,,0,1,0,2022-06-08,2022-06-08,0001-01-01,,0,0,0,0
crossplane-contrib / provider-linode,Native,https://github.com/crossplane-contrib/provider-linode,Demonstrative Crossplane Stack for Linode resources,3,3,2,2022-06-07,2019-09-16,0001-01-01,,0,0,0,0
marcosQuesada / provider-planetscale,Native,https://github.com/marcosQuesada/provider-planetscale,,0,1,0,2022-06-04,2022-06-04,0001-01-01,,0,0,0,0
alperencelik / crossplane-terrajet-sample,Terrajet,https://github.com/alperencelik/crossplane-terrajet-sample,Repository to test terrajet for vsphere,0,1,0,2022-06-02,2022-06-02,0001-01-01,,0,0,0,0
jdotw / provider-harbor,Terrajet,https://github.com/jdotw/provider-harbor,,0,1,0,2022-05-29,2022-05-29,0001-01-01,,0,0,0,0
jcooklin / provider-okta,Native,https://github.com/jcooklin/provider-okta,,0,1,0,2022-05-28,2022-05-28,0001-01-01,,0,0,0,0
crossplane-contrib / provider-gcp-beta,Native,https://github.com/crossplane-contrib/provider-gcp-beta,Crossplane Google Cloud Platform (GCP) infrastructure provider. provider-gcp-beta contains managed resources relying on beta APIs of GCP APIs.,7,7,0,2022-05-27,2021-03-31,2021-09-20,https://doc.crds.dev/github.com/crossplane-contrib/provider-gcp-beta@v0.1.0,6,2,4,0
janwillies / provider-jet-akamai,Terrajet,https://github.com/janwillies/provider-jet-akamai,,1,2,0,2022-05-25,2022-02-03,0001-01-01,,0,0,0,0
thunderboltsid / provider-jet-nutanix,Terrajet,https://github.com/thunderboltsid/provider-jet-nutanix,Terrajet based Crossplane Provider for Nutanix,0,4,0,2022-05-24,2022-05-24,2022-05-24,https://doc.crds.dev/github.com/thunderboltsid/provider-jet-nutanix@0.1.0,4,4,0,0
anasinnyk / provider-cloudflare,Native,https://github.com/anasinnyk/provider-cloudflare,,0,2,0,2022-05-21,2022-05-21,0001-01-01,,0,0,0,0
ewadegam / crossplane-provider-splunk,Native,https://github.com/ewadegam/crossplane-provider-splunk,,0,1,0,2022-05-21,2022-05-21,0001-01-01,,0,0,0,0
poblin-orange / provider-jet-cf,Terrajet,https://github.com/poblin-orange/provider-jet-cf,experimental crossplane provider for cf,0,1,0,2022-05-21,2022-05-21,0001-01-01,,0,0,0,0
anasinnyk / provider-github,Native,https://github.com/anasinnyk/provider-github,,0,2,1,2022-05-21,2022-05-21,0001-01-01,,0,0,0,0
chnyda / provider-jet-taikun,Terrajet,https://github.com/chnyda/provider-jet-taikun,,0,1,0,2022-05-20,2022-05-20,0001-01-01,,0,0,0,0
lechugaletal / test,Native,https://github.com/lechugaletal/test,,0,1,0,2022-05-20,2022-05-20,0001-01-01,,0,0,0,0
kbabiak / crossplane-provider-demo,Native,https://github.com/kbabiak/crossplane-provider-demo,,0,1,0,2022-05-20,2022-05-20,0001-01-01,,0,0,0,0
rajan2 / provider-planetscale,Native,https://github.com/rajan2/provider-planetscale,,0,1,0,2022-05-20,2022-05-20,0001-01-01,,0,0,0,0
ig12 / crossplanprovider,Native,https://github.com/ig12/crossplanprovider,,0,1,0,2022-05-20,2022-05-20,0001-01-01,,0,0,0,0
rtemperini / crossplane-provider-planetscale,Native,https://github.com/rtemperini/crossplane-provider-planetscale,crossplane-provider-planetscale kubecon,0,1,0,2022-05-20,2022-05-20,0001-01-01,,0,0,0,0
KipsasJaujoj / provider-planetscale,Native,https://github.com/KipsasJaujoj/provider-planetscale,,0,1,0,2022-05-20,2022-05-20,0001-01-01,,0,0,0,0
j-gourdon / planet-scale-provider,Native,https://github.com/j-gourdon/planet-scale-provider,,0,1,0,2022-05-20,2022-05-20,0001-01-01,,0,0,0,0
ndrpnt / crossplane-planetscale-provider,Native,https://github.com/ndrpnt/crossplane-planetscale-provider,,0,1,0,2022-05-20,2022-05-20,0001-01-01,,0,0,0,0
chnyda / provider-planetscale,Native,https://github.com/chnyda/provider-planetscale,,0,1,0,2022-05-20,2022-05-20,0001-01-01,,0,0,0,0
qamodi / crossplane,Native,https://github.com/qamodi/crossplane,,0,1,0,2022-05-20,2022-05-20,0001-01-01,,0,0,0,0
vasu1124 / provider-planetscale,Native,https://github.com/vasu1124/provider-planetscale,,0,2,0,2022-05-20,2022-05-20,0001-01-01,,0,0,0,0
samidbb / provider-planetscale,Native,https://github.com/samidbb/provider-planetscale,,0,1,0,2022-05-20,2022-05-20,0001-01-01,,0,0,0,0
william86370 / vsphere-jet-template,Terrajet,https://github.com/william86370/vsphere-jet-template,,0,1,0,2022-05-17,2022-05-17,0001-01-01,,0,0,0,0
headyj / crossplane-provider-neo4j,Terrajet,https://github.com/headyj/crossplane-provider-neo4j,,0,1,0,2022-05-17,2022-05-17,0001-01-01,,0,0,0,0
crossplane-contrib / provider-yandex-cloud,Native,https://github.com/crossplane-contrib/provider-yandex-cloud,A @crossplane provider for @yandex cloud,3,3,0,2022-05-17,2021-09-10,0001-01-01,,0,0,0,0
knowshan / provider-jet-template,Terrajet,https://github.com/knowshan/provider-jet-template,,0,1,0,2022-05-15,2022-05-15,0001-01-01,,0,0,0,0
crossplane-contrib / provider-secret,Native,https://github.com/crossplane-contrib/provider-secret,,1,5,0,2022-05-15,2020-11-23,0001-01-01,,0,0,0,0
hprotzek / provider-jet-okta,Terrajet,https://github.com/hprotzek/provider-jet-okta,Crossplane Okta Jet Provider,0,2,0,2022-05-11,2022-05-03,0001-01-01,,0,0,0,0
j-griffith / terrajet-eksctl,Terrajet,https://github.com/j-griffith/terrajet-eksctl,,0,2,0,2022-05-11,2022-05-11,0001-01-01,,0,0,0,0
ricable / provider-jet-harvester,Terrajet,https://github.com/ricable/provider-jet-harvester,,0,1,0,2022-05-11,2022-05-11,0001-01-01,,0,0,0,0
tmiller / provider-jet-keycloak,Terrajet,https://github.com/tmiller/provider-jet-keycloak,Do not USE!,0,1,0,2022-05-10,2022-05-10,0001-01-01,,0,0,0,0
csermet-ankasoft / provider-jet-template-TEST,Terrajet,https://github.com/csermet-ankasoft/provider-jet-template-TEST,,0,1,0,2022-05-07,2022-05-07,0001-01-01,,0,0,0,0
stevendborrelli / provider-echo,Native,https://github.com/stevendborrelli/provider-echo,Testing provider that echoes values sent to it ,0,1,0,2022-05-04,2022-05-04,0001-01-01,,0,0,0,0
yannickcastano / crossplane-aci,Terrajet,https://github.com/yannickcastano/crossplane-aci,,0,1,0,2022-05-03,2022-05-03,0001-01-01,,0,0,0,0
vestas / provider-jet-vsphere,Terrajet,https://github.com/vestas/provider-jet-vsphere,vSphere Provider for Crossplane that is built with Terrajet.,0,1,0,2022-04-29,2022-04-29,0001-01-01,,0,0,0,0
tanujd11 / provider-jet-aws,Terrajet,https://github.com/tanujd11/provider-jet-aws,,0,1,0,2022-04-29,2022-04-29,0001-01-01,,0,0,0,0
halochou / crossplane-provider-jet-openstack,Terrajet,https://github.com/halochou/crossplane-provider-jet-openstack,,0,1,0,2022-04-28,2022-04-28,0001-01-01,,0,0,0,0
dirien / provider-minectl,Native,https://github.com/dirien/provider-minectl,A @crossplane provider for minectl 🗺,2,1,11,2022-04-26,2021-08-28,0001-01-01,,0,0,0,0
Striar-Yunis / provider-jet-rke,Terrajet,https://github.com/Striar-Yunis/provider-jet-rke,Crossplane Provider created with Terrajet from RKE Terraform Provider. ,0,1,0,2022-04-25,2022-04-25,0001-01-01,,0,0,0,0
Striar-Yunis / provider-jet-rancher-test,Terrajet,https://github.com/Striar-Yunis/provider-jet-rancher-test,Base template,0,1,0,2022-04-24,2022-04-24,0001-01-01,,0,0,0,0
conmurphy / crossplane-aci,Terrajet,https://github.com/conmurphy/crossplane-aci,,0,2,0,2022-04-16,2022-04-16,0001-01-01,,0,0,0,0
conmurphy / crossplane-test,Terrajet,https://github.com/conmurphy/crossplane-test,,0,2,0,2022-04-16,2022-04-16,0001-01-01,,0,0,0,0
perlinger / provider-jet-github,Terrajet,https://github.com/perlinger/provider-jet-github,,0,2,0,2022-04-11,2022-04-11,0001-01-01,,0,0,0,0
perlinger / provider-jet-github-olded,Terrajet,https://github.com/perlinger/provider-jet-github-olded,,0,2,0,2022-04-11,2022-04-05,0001-01-01,,0,0,0,0
elvis-cai / provider-jet-github,Terrajet,https://github.com/elvis-cai/provider-jet-github,,0,2,0,2022-04-07,2022-04-07,0001-01-01,,0,0,0,0
acald-creator / how-to-use-terrajet,Terrajet,https://github.com/acald-creator/how-to-use-terrajet,,0,1,0,2022-04-07,2022-04-07,0001-01-01,,0,0,0,0
shahidv3 / provider-jet-oracle,Native,https://github.com/shahidv3/provider-jet-oracle,,1,2,0,2022-04-05,2021-12-29,0001-01-01,,0,0,0,0
crossplane-contrib / provider-jet-alibaba,Terrajet,https://github.com/crossplane-contrib/provider-jet-alibaba,A Crossplane provider for Alibaba Cloud (@aliyun),3,4,2,2022-04-05,2022-03-04,0001-01-01,,0,0,0,0
malarinv / provider-jet-gitea,Terrajet,https://github.com/malarinv/provider-jet-gitea,Gitea Provider for Crossplane that is built with Terrajet.,0,2,0,2022-04-02,2022-04-02,0001-01-01,,0,0,0,0
perlinger / provider-jet-github-readme,Terrajet,https://github.com/perlinger/provider-jet-github-readme,,0,2,0,2022-04-01,2022-04-01,0001-01-01,,0,0,0,0
perlinger / provider-jet-github-orig,Terrajet,https://github.com/perlinger/provider-jet-github-orig,,0,2,0,2022-04-01,2022-02-28,0001-01-01,,0,0,0,0
conmurphy / crossplane-github,Terrajet,https://github.com/conmurphy/crossplane-github,,0,2,0,2022-03-31,2022-03-31,0001-01-01,,0,0,0,0
moeller142 / provider-test,Native,https://github.com/moeller142/provider-test,,0,2,0,2022-03-31,2022-03-31,0001-01-01,,0,0,0,0
mleahu / provider-jet-awssc,Terrajet,https://github.com/mleahu/provider-jet-awssc,Crossplane provider for AWS Service Catalog resources generated by Crossplane Terrajet,0,1,1,2022-03-31,2022-03-31,0001-01-01,,0,0,0,0
DZhuribeda / provider-jet-digitalocean,Terrajet,https://github.com/DZhuribeda/provider-jet-digitalocean,,0,1,0,2022-03-29,2022-03-29,0001-01-01,,0,0,0,0
mleahu / provider-jet-aws4,Terrajet,https://github.com/mleahu/provider-jet-aws4,Crossplane Terrajet provider ,0,1,0,2022-03-29,2022-03-29,0001-01-01,,0,0,0,0
mkram / provider-jet-gitlab,Terrajet,https://github.com/mkram/provider-jet-gitlab,,0,1,0,2022-03-29,2022-03-29,0001-01-01,,0,0,0,0
luebken / provider-dummy,Native,https://github.com/luebken/provider-dummy,A dummy provider to learn writing a provider.,0,1,1,2022-03-28,2022-03-28,0001-01-01,,0,0,0,0
maltejk / provider-metakube,Native,https://github.com/maltejk/provider-metakube,,0,1,0,2022-03-26,2022-03-26,0001-01-01,,0,0,0,0
maltejk / provider-jet-metakube,Native,https://github.com/maltejk/provider-jet-metakube,,0,2,1,2022-03-26,2021-12-06,0001-01-01,,0,0,0,0
AaronME / provider-jet-vault-old,Terrajet,https://github.com/AaronME/provider-jet-vault-old,Generated crossplane provider for vault,0,0,0,2022-03-24,2022-03-06,0001-01-01,,0,0,0,0
opendevsecopsio / crossplane-provider-jet-vsphere,Terrajet,https://github.com/opendevsecopsio/crossplane-provider-jet-vsphere,vsphere provider for crossplane,0,1,0,2022-03-18,2022-03-18,0001-01-01,,0,0,0,0
Piotr1215 / provider-jet-archive,Terrajet,https://github.com/Piotr1215/provider-jet-archive,Generating archive utility TF provider,0,2,3,2022-03-16,2022-03-16,0001-01-01,,0,0,0,0
davidcollom / crossplane-jet-uptimerobot,Terrajet,https://github.com/davidcollom/crossplane-jet-uptimerobot,,0,2,4,2022-03-16,2022-03-16,2022-03-16,https://doc.crds.dev/github.com/davidcollom/crossplane-jet-uptimerobot@0.0.1,5,5,0,0
Piotr1215 / provider-dogfacts,Native,https://github.com/Piotr1215/provider-dogfacts,Crossplane provider a fun learning experience,0,2,0,2022-03-15,2022-03-15,0001-01-01,,0,0,0,0
AlertoJon-io / opsgenie-crossplane-provider,Terrajet,https://github.com/AlertoJon-io/opsgenie-crossplane-provider,,0,1,0,2022-03-15,2022-03-15,0001-01-01,,0,0,0,0
arianvp / provider-jet-vultr,Terrajet,https://github.com/arianvp/provider-jet-vultr,,0,1,0,2022-03-12,2022-03-12,0001-01-01,,0,0,0,0
AaronME / provider-cards,Native,https://github.com/AaronME/provider-cards,A sample provider to generate playing cards,0,1,0,2022-03-10,2022-02-14,0001-01-01,,0,0,0,0
abdelazizhd / provider-jet-template,Terrajet,https://github.com/abdelazizhd/provider-jet-template,,0,1,0,2022-03-09,2022-03-09,0001-01-01,,0,0,0,0
arijanluiken / shizzle-provider,Native,https://github.com/arijanluiken/shizzle-provider,,0,1,0,2022-03-09,2022-03-09,0001-01-01,,0,0,0,0
katafira / provider-jet-gitlab,Terrajet,https://github.com/katafira/provider-jet-gitlab,,0,1,0,2022-03-09,2022-03-09,0001-01-01,,0,0,0,0
LucaLanziani / provider-jet-cloudflare,Terrajet,https://github.com/LucaLanziani/provider-jet-cloudflare,,0,2,0,2022-03-07,2022-02-01,0001-01-01,,0,0,0,0
katafira / provider-gitlab-operator,Terrajet,https://github.com/katafira/provider-gitlab-operator,,0,1,1,2022-03-07,2022-03-07,0001-01-01,,0,0,0,0
matthewnolf / grafana-provider,Terrajet,https://github.com/matthewnolf/grafana-provider,,0,1,0,2022-03-07,2022-03-07,0001-01-01,,0,0,0,0
matthewnolf / hello-crossplane,Terrajet,https://github.com/matthewnolf/hello-crossplane,Managed with Crossplane Github Provider (generated with Terrajet),0,1,0,2022-03-07,2022-03-07,0001-01-01,,0,0,0,0
giattal / provider-jet-vsphere,Terrajet,https://github.com/giattal/provider-jet-vsphere,,0,1,0,2022-03-07,2022-03-07,0001-01-01,,0,0,0,0
matthewnolf / github-provider,Terrajet,https://github.com/matthewnolf/github-provider,,0,1,0,2022-03-04,2022-03-04,0001-01-01,,0,0,0,0
dgmorales / crossplane-provider-approval,Native,https://github.com/dgmorales/crossplane-provider-approval,,0,2,0,2022-03-03,2022-03-03,0001-01-01,,0,0,0,0
zzxwill / provider-jet-alibaba2,Terrajet,https://github.com/zzxwill/provider-jet-alibaba2,,2,2,0,2022-03-01,2022-02-24,0001-01-01,,0,0,0,0
abdelazizhd / provider-jet-imgix,Terrajet,https://github.com/abdelazizhd/provider-jet-imgix,,0,1,0,2022-03-01,2022-03-01,0001-01-01,,0,0,0,0
turkenh / provider-jet-alibaba,Terrajet,https://github.com/turkenh/provider-jet-alibaba,,0,1,0,2022-02-25,2022-02-07,0001-01-01,,0,0,0,0
bmpandrade / provider-jet-datadog,Terrajet,https://github.com/bmpandrade/provider-jet-datadog,,0,3,0,2022-02-24,2022-02-24,0001-01-01,,0,0,0,0
cromark / provider-jet-vault,Terrajet,https://github.com/cromark/provider-jet-vault,,0,1,0,2022-02-24,2022-02-06,0001-01-01,,0,0,0,0
Giomaster / azuredevops-jet,Terrajet,https://github.com/Giomaster/azuredevops-jet,,0,1,0,2022-02-23,2022-02-23,0001-01-01,,0,0,0,0
ajwgroup / provider-jet-azuread,Terrajet,https://github.com/ajwgroup/provider-jet-azuread,,0,1,0,2022-02-23,2022-02-23,0001-01-01,,0,0,0,0
crossplane-contrib / provider-jet-ec,Terrajet,https://github.com/crossplane-contrib/provider-jet-ec,,2,3,0,2022-02-22,2022-02-18,0001-01-01,,0,0,0,0
jaroslav-svoboda / provider-jet-azuredevops,Terrajet,https://github.com/jaroslav-svoboda/provider-jet-azuredevops,,0,1,0,2022-02-22,2022-02-22,0001-01-01,,0,0,0,0
ArunRamakani / provider-jet-grafana,Terrajet,https://github.com/ArunRamakani/provider-jet-grafana,,0,1,0,2022-02-20,2022-02-20,0001-01-01,,0,0,0,0
ArunRamakani / hashicorp-provider,Terrajet,https://github.com/ArunRamakani/hashicorp-provider,Hashicorp Provider for Crossplane  using terrajet,0,1,0,2022-02-20,2022-02-20,0001-01-01,,0,0,0,0
abdelazizhd / provider-timg-gcp,Terrajet,https://github.com/abdelazizhd/provider-timg-gcp,,0,1,0,2022-02-17,2022-02-17,0001-01-01,,0,0,0,0
abdelazizhd / crossplane-gcp,Terrajet,https://github.com/abdelazizhd/crossplane-gcp,,0,1,0,2022-02-17,2022-02-17,0001-01-01,,0,0,0,0
abdelazizhd / gcp-lb-https,Terrajet,https://github.com/abdelazizhd/gcp-lb-https,,0,1,0,2022-02-17,2022-02-17,0001-01-01,,0,0,0,0
pickjonathan / provider-jet-vsphere,Terrajet,https://github.com/pickjonathan/provider-jet-vsphere,,0,1,0,2022-02-17,2022-02-17,0001-01-01,,0,0,0,0
sumeet70 / provider-h2,Native,https://github.com/sumeet70/provider-h2,,0,2,0,2022-02-16,2022-02-16,0001-01-01,,0,0,0,0
